response,consent,age_range,gender,question,Answer,sup-inf,inf-sup,equal,ironic,nonironic,rude,polite
0,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
1,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
2,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
3,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
4,1.0,4.0,2.0,sup-inf,3.0,1,0,0,0,1,1,0
5,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
6,1.0,1.0,2.0,sup-inf,2.0,1,0,0,1,0,0,1
7,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
8,1.0,1.0,1.0,sup-inf,4.0,1,0,0,0,1,0,1
9,1.0,1.0,1.0,sup-inf,4.0,1,0,0,0,1,0,1
11,1.0,1.0,2.0,sup-inf,1.0,1,0,0,1,0,1,0
12,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
13,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
14,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
15,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
16,1.0,1.0,2.0,sup-inf,2.0,1,0,0,1,0,0,1
17,1.0,5.0,1.0,sup-inf,4.0,1,0,0,0,1,0,1
18,1.0,1.0,2.0,sup-inf,2.0,1,0,0,1,0,0,1
23,1.0,5.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
26,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
27,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
28,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
30,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
32,1.0,1.0,1.0,sup-inf,4.0,1,0,0,0,1,0,1
33,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
36,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
44,1.0,1.0,1.0,sup-inf,2.0,1,0,0,1,0,0,1
46,1.0,1.0,2.0,sup-inf,4.0,1,0,0,0,1,0,1
0,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
1,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
2,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
3,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
4,1.0,4.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
5,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
6,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
7,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
8,1.0,1.0,1.0,inf-sup,4.0,0,1,0,0,1,0,1
9,1.0,1.0,1.0,inf-sup,4.0,0,1,0,0,1,0,1
11,1.0,1.0,2.0,inf-sup,1.0,0,1,0,1,0,1,0
12,1.0,1.0,2.0,inf-sup,1.0,0,1,0,1,0,1,0
13,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
14,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
15,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
16,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
17,1.0,5.0,1.0,inf-sup,3.0,0,1,0,0,1,1,0
18,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
23,1.0,5.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
26,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
27,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
28,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
30,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
32,1.0,1.0,1.0,inf-sup,4.0,0,1,0,0,1,0,1
33,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
36,1.0,1.0,2.0,inf-sup,3.0,0,1,0,0,1,1,0
44,1.0,1.0,1.0,inf-sup,4.0,0,1,0,0,1,0,1
46,1.0,1.0,2.0,inf-sup,4.0,0,1,0,0,1,0,1
0,1.0,1.0,2.0,equal,2.0,0,0,1,1,0,0,1
1,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
2,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
3,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
4,1.0,4.0,2.0,equal,4.0,0,0,1,0,1,0,1
5,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
6,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
7,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
8,1.0,1.0,1.0,equal,4.0,0,0,1,0,1,0,1
9,1.0,1.0,1.0,equal,4.0,0,0,1,0,1,0,1
11,1.0,1.0,2.0,equal,1.0,0,0,1,1,0,1,0
12,1.0,1.0,2.0,equal,1.0,0,0,1,1,0,1,0
13,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
14,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
15,1.0,1.0,2.0,equal,1.0,0,0,1,1,0,1,0
16,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
17,1.0,5.0,1.0,equal,4.0,0,0,1,0,1,0,1
18,1.0,1.0,2.0,equal,1.0,0,0,1,1,0,1,0
23,1.0,5.0,2.0,equal,4.0,0,0,1,0,1,0,1
26,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
27,1.0,1.0,2.0,equal,3.0,0,0,1,0,1,1,0
28,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
30,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
32,1.0,1.0,1.0,equal,4.0,0,0,1,0,1,0,1
33,1.0,1.0,2.0,equal,3.0,0,0,1,0,1,1,0
36,1.0,1.0,2.0,equal,2.0,0,0,1,1,0,0,1
44,1.0,1.0,1.0,equal,1.0,0,0,1,1,0,1,0
46,1.0,1.0,2.0,equal,4.0,0,0,1,0,1,0,1
0,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
1,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
2,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
3,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
4,1.0,4.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
5,1.0,1.0,2.0,sup-inf.1,3.0,1,0,0,0,1,1,0
6,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
7,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
8,1.0,1.0,1.0,sup-inf.1,4.0,1,0,0,0,1,0,1
9,1.0,1.0,1.0,sup-inf.1,4.0,1,0,0,0,1,0,1
11,1.0,1.0,2.0,sup-inf.1,1.0,1,0,0,1,0,1,0
12,1.0,1.0,2.0,sup-inf.1,1.0,1,0,0,1,0,1,0
13,1.0,1.0,2.0,sup-inf.1,1.0,1,0,0,1,0,1,0
14,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
15,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
16,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
17,1.0,5.0,1.0,sup-inf.1,3.0,1,0,0,0,1,1,0
18,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
23,1.0,5.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
26,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
27,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
28,1.0,1.0,2.0,sup-inf.1,4.0,1,0,0,0,1,0,1
30,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
32,1.0,1.0,1.0,sup-inf.1,4.0,1,0,0,0,1,0,1
33,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
36,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
44,1.0,1.0,1.0,sup-inf.1,4.0,1,0,0,0,1,0,1
46,1.0,1.0,2.0,sup-inf.1,2.0,1,0,0,1,0,0,1
0,1.0,1.0,2.0,equal.1,1.0,0,0,1,1,0,1,0
1,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
2,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
3,1.0,1.0,2.0,equal.1,2.0,0,0,1,1,0,0,1
4,1.0,4.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
5,1.0,1.0,2.0,equal.1,2.0,0,0,1,1,0,0,1
6,1.0,1.0,2.0,equal.1,2.0,0,0,1,1,0,0,1
7,1.0,1.0,2.0,equal.1,2.0,0,0,1,1,0,0,1
8,1.0,1.0,1.0,equal.1,4.0,0,0,1,0,1,0,1
9,1.0,1.0,1.0,equal.1,1.0,0,0,1,1,0,1,0
11,1.0,1.0,2.0,equal.1,2.0,0,0,1,1,0,0,1
12,1.0,1.0,2.0,equal.1,1.0,0,0,1,1,0,1,0
13,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
14,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
15,1.0,1.0,2.0,equal.1,2.0,0,0,1,1,0,0,1
16,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
17,1.0,5.0,1.0,equal.1,3.0,0,0,1,0,1,1,0
18,1.0,1.0,2.0,equal.1,2.0,0,0,1,1,0,0,1
23,1.0,5.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
26,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
27,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
28,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
30,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
32,1.0,1.0,1.0,equal.1,4.0,0,0,1,0,1,0,1
33,1.0,1.0,2.0,equal.1,1.0,0,0,1,1,0,1,0
36,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
44,1.0,1.0,1.0,equal.1,2.0,0,0,1,1,0,0,1
46,1.0,1.0,2.0,equal.1,4.0,0,0,1,0,1,0,1
0,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
1,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
2,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
3,1.0,1.0,2.0,sup-inf.2,1.0,1,0,0,1,0,1,0
4,1.0,4.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
5,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
6,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
7,1.0,1.0,2.0,sup-inf.2,2.0,1,0,0,1,0,0,1
8,1.0,1.0,1.0,sup-inf.2,4.0,1,0,0,0,1,0,1
9,1.0,1.0,1.0,sup-inf.2,4.0,1,0,0,0,1,0,1
11,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
12,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
13,1.0,1.0,2.0,sup-inf.2,2.0,1,0,0,1,0,0,1
14,1.0,1.0,2.0,sup-inf.2,2.0,1,0,0,1,0,0,1
15,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
16,1.0,1.0,2.0,sup-inf.2,3.0,1,0,0,0,1,1,0
17,1.0,5.0,1.0,sup-inf.2,4.0,1,0,0,0,1,0,1
18,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
23,1.0,5.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
28,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
32,1.0,1.0,1.0,sup-inf.2,4.0,1,0,0,0,1,0,1
33,1.0,1.0,2.0,sup-inf.2,4.0,1,0,0,0,1,0,1
0,1.0,1.0,2.0,inf-sup.1,2.0,0,1,0,1,0,0,1
1,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
2,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
3,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
4,1.0,4.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
5,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
6,1.0,1.0,2.0,inf-sup.1,1.0,0,1,0,1,0,1,0
7,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
8,1.0,1.0,1.0,inf-sup.1,4.0,0,1,0,0,1,0,1
9,1.0,1.0,1.0,inf-sup.1,4.0,0,1,0,0,1,0,1
11,1.0,1.0,2.0,inf-sup.1,1.0,0,1,0,1,0,1,0
12,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
13,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
14,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
15,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
16,1.0,1.0,2.0,inf-sup.1,3.0,0,1,0,0,1,1,0
17,1.0,5.0,1.0,inf-sup.1,4.0,0,1,0,0,1,0,1
18,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
23,1.0,5.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
28,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
32,1.0,1.0,1.0,inf-sup.1,4.0,0,1,0,0,1,0,1
33,1.0,1.0,2.0,inf-sup.1,4.0,0,1,0,0,1,0,1
0,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
1,1.0,1.0,2.0,sup-inf.3,2.0,1,0,0,1,0,0,1
2,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
3,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
4,1.0,4.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
5,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
6,1.0,1.0,2.0,sup-inf.3,1.0,1,0,0,1,0,1,0
7,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
8,1.0,1.0,1.0,sup-inf.3,4.0,1,0,0,0,1,0,1
9,1.0,1.0,1.0,sup-inf.3,4.0,1,0,0,0,1,0,1
11,1.0,1.0,2.0,sup-inf.3,2.0,1,0,0,1,0,0,1
12,1.0,1.0,2.0,sup-inf.3,2.0,1,0,0,1,0,0,1
13,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
14,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
15,1.0,1.0,2.0,sup-inf.3,2.0,1,0,0,1,0,0,1
16,1.0,1.0,2.0,sup-inf.3,2.0,1,0,0,1,0,0,1
17,1.0,5.0,1.0,sup-inf.3,1.0,1,0,0,1,0,1,0
18,1.0,1.0,2.0,sup-inf.3,2.0,1,0,0,1,0,0,1
23,1.0,5.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
28,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
32,1.0,1.0,1.0,sup-inf.3,4.0,1,0,0,0,1,0,1
33,1.0,1.0,2.0,sup-inf.3,4.0,1,0,0,0,1,0,1
0,1.0,1.0,2.0,equal.2,3.0,0,0,1,0,1,1,0
1,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
2,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
3,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
4,1.0,4.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
5,1.0,1.0,2.0,equal.2,3.0,0,0,1,0,1,1,0
6,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
7,1.0,1.0,2.0,equal.2,3.0,0,0,1,0,1,1,0
8,1.0,1.0,1.0,equal.2,2.0,0,0,1,1,0,0,1
9,1.0,1.0,1.0,equal.2,3.0,0,0,1,0,1,1,0
11,1.0,1.0,2.0,equal.2,1.0,0,0,1,1,0,1,0
12,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
13,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
14,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
15,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
16,1.0,1.0,2.0,equal.2,1.0,0,0,1,1,0,1,0
17,1.0,5.0,1.0,equal.2,3.0,0,0,1,0,1,1,0
18,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
23,1.0,5.0,2.0,equal.2,3.0,0,0,1,0,1,1,0
28,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
32,1.0,1.0,1.0,equal.2,4.0,0,0,1,0,1,0,1
33,1.0,1.0,2.0,equal.2,4.0,0,0,1,0,1,0,1
0,1.0,1.0,2.0,sup-inf.4,1.0,1,0,0,1,0,1,0
1,1.0,1.0,2.0,sup-inf.4,3.0,1,0,0,0,1,1,0
2,1.0,1.0,2.0,sup-inf.4,3.0,1,0,0,0,1,1,0
3,1.0,1.0,2.0,sup-inf.4,2.0,1,0,0,1,0,0,1
4,1.0,4.0,2.0,sup-inf.4,4.0,1,0,0,0,1,0,1
5,1.0,1.0,2.0,sup-inf.4,3.0,1,0,0,0,1,1,0
6,1.0,1.0,2.0,sup-inf.4,2.0,1,0,0,1,0,0,1
7,1.0,1.0,2.0,sup-inf.4,4.0,1,0,0,0,1,0,1
8,1.0,1.0,1.0,sup-inf.4,4.0,1,0,0,0,1,0,1
9,1.0,1.0,1.0,sup-inf.4,1.0,1,0,0,1,0,1,0
11,1.0,1.0,2.0,sup-inf.4,3.0,1,0,0,0,1,1,0
12,1.0,1.0,2.0,sup-inf.4,3.0,1,0,0,0,1,1,0
13,1.0,1.0,2.0,sup-inf.4,2.0,1,0,0,1,0,0,1
14,1.0,1.0,2.0,sup-inf.4,4.0,1,0,0,0,1,0,1
15,1.0,1.0,2.0,sup-inf.4,3.0,1,0,0,0,1,1,0
16,1.0,1.0,2.0,sup-inf.4,1.0,1,0,0,1,0,1,0
17,1.0,5.0,1.0,sup-inf.4,3.0,1,0,0,0,1,1,0
18,1.0,1.0,2.0,sup-inf.4,2.0,1,0,0,1,0,0,1
23,1.0,5.0,2.0,sup-inf.4,3.0,1,0,0,0,1,1,0
28,1.0,1.0,2.0,sup-inf.4,2.0,1,0,0,1,0,0,1
32,1.0,1.0,1.0,sup-inf.4,4.0,1,0,0,0,1,0,1
0,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
1,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
2,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
3,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
4,1.0,4.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
5,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
6,1.0,1.0,2.0,inf-sup.2,1.0,0,1,0,1,0,1,0
7,1.0,1.0,2.0,inf-sup.2,2.0,0,1,0,1,0,0,1
8,1.0,1.0,1.0,inf-sup.2,4.0,0,1,0,0,1,0,1
9,1.0,1.0,1.0,inf-sup.2,4.0,0,1,0,0,1,0,1
11,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
12,1.0,1.0,2.0,inf-sup.2,2.0,0,1,0,1,0,0,1
13,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
14,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
15,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
16,1.0,1.0,2.0,inf-sup.2,4.0,0,1,0,0,1,0,1
17,1.0,5.0,1.0,inf-sup.2,4.0,0,1,0,0,1,0,1
